Grant Name	Sponsor	Link	Open Date	Deadline	Status	Relevance	EQORE Fit	Ease of Use	Match %	Opp ID	Opportunity Number
Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation (CDC-RFA-JG-26-0108)	Centers for Disease Control-GHC	https://www.grants.gov/search-results-detail/360345	08/22/2025		forecasted	1.0	3.0	4.0		360345	CDC-RFA-JG-26-0108
Strengthening and Developing of Sustainable Global Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation (CDC-RFA-JG-26-0059)	Centers for Disease Control-GHC	https://www.grants.gov/search-results-detail/360344	08/22/2025		forecasted	1.0	3.0	4.0		360344	CDC-RFA-JG-26-0059
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-ATL-TA-ATRO-2021-2006846)	Department of Commerce	https://www.grants.gov/search-results-detail/332052	03/15/2021		posted	0.0	4.0	3.0	0.0	332052	EDA-ATL-TA-ATRO-2021-2006846
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-DEN-TA-DRO-2021-2006850)	Department of Commerce	https://www.grants.gov/search-results-detail/332126	03/15/2021		posted	0.0	4.0	3.0	0.0	332126	EDA-DEN-TA-DRO-2021-2006850
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-AUS-TA-AURO-2021-2006848)	Department of Commerce	https://www.grants.gov/search-results-detail/332137	03/15/2021		posted	0.0	4.0	3.0	0.0	332137	EDA-AUS-TA-AURO-2021-2006848
Chicago FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-CHI-TA-CRO-2021-2006849)	Department of Commerce	https://www.grants.gov/search-results-detail/332125	03/15/2021		posted	0.0	4.0	3.0	0.0	332125	EDA-CHI-TA-CRO-2021-2006849
Philadelphia FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-PHI-TA-PRO-2021-2006851)	Department of Commerce	https://www.grants.gov/search-results-detail/332138	03/15/2021		posted	0.0	4.0	3.0	0.0	332138	EDA-PHI-TA-PRO-2021-2006851
Seattle FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-SEA-TA-SRO-2021-2006853)	Department of Commerce	https://www.grants.gov/search-results-detail/332127	03/15/2021		posted	0.0	4.0	3.0	0.0	332127	EDA-SEA-TA-SRO-2021-2006853
The Countering Violent Extremism Small Grants Program FY2022 (TIRCVEFY22)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/338874	03/24/2022		forecasted	0.0	3.0	4.0		338874	TIRCVEFY22
Countering Violent Extremism Small Grants Program FY2023 (TIRCVEFY23)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/346737	03/10/2023		forecasted	0.0	3.0	4.0		346737	TIRCVEFY23
Annual Program Statement (2025VE-001A)	U.S. Mission to Venezuela	https://www.grants.gov/search-results-detail/359024	05/16/2025		forecasted	0.0	3.0	4.0		359024	2025VE-001A
U.S. Embassy Buenos Aires PAS Strategic Programs (PAS-AR200-FY25-05)	U.S. Mission to Argentina	https://www.grants.gov/search-results-detail/358695	04/17/2025		forecasted	0.5	3.0	4.0		358695	PAS-AR200-FY25-05
2023 Emerging Voices Small Grants Program (23-PHL-NOFO-EV)	U.S. Mission to the Philippines	https://www.grants.gov/search-results-detail/347707	04/24/2023		forecasted	0.0	3.0	4.0		347707	23-PHL-NOFO-EV
National Training Center for Title X and Teen Pregnancy Prevention (TPP) (AH-TPS-25-001)	Office of the Assistant Secretary for Health	https://www.grants.gov/search-results-detail/355936	08/07/2024		forecasted	1.0	3.0	4.0		355936	AH-TPS-25-001
National Training Center for Title X and Teen Pregnancy Prevention (TPP) (PA-FPT-25-001)	Office of the Assistant Secretary for Health	https://www.grants.gov/search-results-detail/355937	08/07/2024		forecasted	1.0	3.0	4.0		355937	PA-FPT-25-001
U.S. Embassy Praia Ambassador&rsquo;s Special Self-Help (SSH) Program (AFPRA-20-04)	U.S. Mission to Cape Verde	https://www.grants.gov/search-results-detail/325599	03/19/2020		posted	0.5	3.0	3.0		325599	AFPRA-20-04
MISSION ITALY ANNUAL PROGRAM STATEMENT 2023 (2301)	U.S. Mission to Italy	https://www.grants.gov/search-results-detail/345914	02/09/2023		forecasted	0.0	3.0	4.0		345914	2301
Limited Competition: Building Partnerships and Broadening Perspectives to Advance Ethical, Legal, and Social Implications (ELSI) Research (BBAER) Program (UM1), Clinical Trial Optional (RFA-HG-24-026)	National Institutes of Health	https://www.grants.gov/search-results-detail/355317	07/10/2024	08/02/2026	posted	0.5	3.0	5.0		355317	RFA-HG-24-026
Accelerating Research through International Network-to-Network Collaborations (23-619)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/350002	08/26/2023	09/15/2025	posted	0.5	3.0	2.0		350002	23-619
EPSCoR Research Infrastructure Improvement (RII): EPSCoR Research Fellows (24-528)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/351923	01/23/2024	04/14/2026	posted	1.0	3.0	5.0		351923	24-528
Atmosphere Cluster (PD-24-7790)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/356538	09/26/2024		posted	0.0	3.0	3.0		356538	PD-24-7790
Venezuela Annual Program Statement (FY2022VE001)	U.S. Mission to Venezuela	https://www.grants.gov/search-results-detail/336439	11/05/2021		forecasted	0.0	3.0	4.0		336439	FY2022VE001
