Grant name,Sponsor org,Link,Award max,RFP,Innovation/execution,Latest preparation start date,App deadline,Partners notes,Match req %,Timeline summary,App process,App package,Extra notes
CONTAMINATED ALASKA NATIVE CLAIMS SETTLEMENT ACT LANDS ASSISTANCE PROGRAM (EPA-OLEM-R10-NC-24-01),Environmental Protection Agency,https://www.grants.gov/search-results-detail/351547,,https://www.grants.gov/search-results-detail/351547,,,12/31/2025,,,Open 12/28/2023 → Close 12/31/2025,,,Status: posted
Notice of Intent to Publish a Funding Opportunity Announcement for NIEHS Worker Training Program&rsquo;s Hazardous Materials Worker Health and Safety Training (U45 &ndash; Clinical Trials Not Allowed) (TEMP-31337),National Institutes of Health,https://www.grants.gov/search-results-detail/359158,,https://www.grants.gov/search-results-detail/359158,,,,,,Open 05/28/2025 → Close ,,,Status: forecasted
Fire Science Innovations through Research and Education (PD-25-345Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358568,,https://www.grants.gov/search-results-detail/358568,,,02/10/2026,,,Open 03/16/2025 → Close 02/10/2026,,,Status: posted
Forecast to Publish a Funding Opportunity Announcement for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Coordinating Center (FOR-MD-25-009),National Institutes of Health,https://www.grants.gov/search-results-detail/359864,,https://www.grants.gov/search-results-detail/359864,,,,,,Open 06/27/2025 → Close ,,,Status: forecasted
"Informatics, Coordination and Service Center for the Mutant Mouse Resource and Research Centers (U42 Clinical Trial Not Allowed) (TEMP-30927)",National Institutes of Health,https://www.grants.gov/search-results-detail/359647,,https://www.grants.gov/search-results-detail/359647,,,,,,Open 06/09/2025 → Close ,,,Status: forecasted
Limited Competition for the HEAL Initiative: HEALthy Brain and Child Development (HBCD) Study &ndash; Coordinating Administrative Core and Data Coordinating Center (U24 Clinical Trial Not Allowed) (FOR-DA-26-003),National Institutes of Health,https://www.grants.gov/search-results-detail/358853,,https://www.grants.gov/search-results-detail/358853,,,,,,Open 05/09/2025 → Close ,,,Status: forecasted
NIEHS Worker Training Program&rsquo;s SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed) (TEMP-30794),National Institutes of Health,https://www.grants.gov/search-results-detail/358912,,https://www.grants.gov/search-results-detail/358912,,,,,,Open 05/21/2025 → Close ,,,Status: forecasted
NICHD Resource Program Grants in Bioinformatics (P41 Clinical Trial Not Allowed) (PAR-24-301),National Institutes of Health,https://www.grants.gov/search-results-detail/356517,,https://www.grants.gov/search-results-detail/356517,,,09/25/2027,,,Open 09/24/2024 → Close 09/25/2027,,,Status: posted
Infrastructure Cluster (PD-24-7791),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356537,,https://www.grants.gov/search-results-detail/356537,,,,,,Open 09/26/2024 → Close ,,,Status: posted
Advanced Development and Validation of Emerging Biospecimen Science Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed) (RFA-CA-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/357737,,https://www.grants.gov/search-results-detail/357737,,,10/03/2025,,,Open 12/16/2024 → Close 10/03/2025,,,Status: posted
Integrating Biospecimen Science Approaches into Clinical Assay Development (U01 Clinical Trial Not Allowed) (PAR-25-325),National Institutes of Health,https://www.grants.gov/search-results-detail/357712,,https://www.grants.gov/search-results-detail/357712,,,09/10/2027,,,Open 12/13/2024 → Close 09/10/2027,,,Status: posted
Prospective Observational Comparative Effectiveness Research in Clinical Neurosciences (UG3/UH3 Clinical Trial Not Allowed) (PAR-25-048),National Institutes of Health,https://www.grants.gov/search-results-detail/358084,,https://www.grants.gov/search-results-detail/358084,,,09/07/2025,,,Open 01/08/2025 → Close 09/07/2025,,,Status: posted
AFCP 2020 Small Grants Competition (AFCP20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322814,,https://www.grants.gov/search-results-detail/322814,,,,,,Open 12/02/2019 → Close ,,,Status: forecasted
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/356623,,https://www.grants.gov/search-results-detail/356623,,,09/29/2029,,,Open 10/02/2024 → Close 09/29/2029,,,Status: posted
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360353,,https://www.grants.gov/search-results-detail/360353,,,09/25/2025,,,Open 08/25/2025 → Close 09/25/2025,,,Status: posted
